"latitude","longitude","survey_date","class","order","family","genus","species","valid_genus","valid_species","biomass_mean","size_class_mean","total_mean","bodySize","ref_bodysize"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Pentacerotidae","Pentaceropsis","recurvirostris","Pentaceropsis","recurvirostris",1030,35,2,50,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Labridae","Pictilabrus","laticlavius","Pictilabrus","laticlavius",54.7,12.2,1.4,23,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Gadiformes","Moridae","Pseudophycis","barbata","Pseudophycis","barbata",447.7,40,1,63,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Odacidae","Siphonognathus","beddomei","Siphonognathus","beddomei",29.3,10,1,12,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Plesiopidae","Trachinops","caudimaculatus","Trachinops","caudimaculatus",381.4,5.6,167.6,15,"Fishbase2022"
-43.3,147.2,2021-03-27,"Actinopterygii","Perciformes","Serranidae","Caesioperca","lepidoptera","Caesioperca","lepidoptera",69.6,10,1,30,"Fishbase2022"
-43.3,147.2,2021-03-27,"Actinopterygii","Perciformes","Serranidae","Caesioperca","rasor","Caesioperca","rasor",544.6,14.2,3,25,"Fishbase2022"
-43.3,147.2,2021-03-27,"Actinopterygii","Perciformes","Dinolestidae","Dinolestes","lewini","Dinolestes","lewini",8840.8,27.5,54.4,84,"Fishbase2022"
-43.3,147.2,2021-03-27,"Actinopterygii","Perciformes","Labridae","Dotalabrus","aurantiacus","Dotalabrus","aurantiacus",16.5,8.3,1,11.1,"Fishbase2022"
-43.3,147.2,2021-03-27,"Actinopterygii","Perciformes","Odacidae","Neoodax","balteatus","Neoodax","balteatus",8.9,6.6,1.4,14,"Fishbase2022"
-43.3,147.2,2021-03-27,"Actinopterygii","Perciformes","Labridae","Notolabrus","fucicola","Notolabrus","fucicola",254.9,25,1,38,"Fishbase2022"
-43.3,147.2,2021-03-27,"Actinopterygii","Perciformes","Labridae","Notolabrus","tetricus","Notolabrus","tetricus",267.3,21.8,1.7,50,"Fishbase2022"
-43.3,147.2,2021-03-27,"Actinopterygii","Perciformes","Labridae","Pictilabrus","laticlavius","Pictilabrus","laticlavius",121.5,15.2,1.7,23,"Fishbase2022"
-43.3,147.2,2021-03-27,"Actinopterygii","Perciformes","Labridae","Pseudolabrus","rubicundus","Pseudolabrus","rubicundus",38.3,12.5,1,NA,"Fishbase2022"
-43.3,147.2,2021-03-27,"Actinopterygii","Perciformes","Kyphosidae","Scorpis","aequipinnis","Scorpis","aequipinnis",37.1,12.5,1,40,"Fishbase2022"
-43.3,147.2,2021-03-27,"Actinopterygii","Perciformes","Plesiopidae","Trachinops","caudimaculatus","Trachinops","caudimaculatus",618.6,6.6,94.1,15,"Fishbase2022"
-43.3,147.2,2021-03-27,"Actinopterygii","Perciformes","Carangidae","Trachurus","novaezelandiae","Trachurus","novaezelandiae",314.7,25,1,50,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Serranidae","Caesioperca","rasor","Caesioperca","rasor",67.3,8.8,1.5,25,"Fishbase2022"
-43.3,147.2,2022-03-04,"Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium","laticeps","Cephaloscyllium","laticeps",288.3,50,1,150,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Dinolestidae","Dinolestes","lewini","Dinolestes","lewini",171.3,17.3,2.2,84,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Tetraodontiformes","Diodontidae","Diodon","nicthemerus","Diodon","nicthemerus",277,20,1,40,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Labridae","Dotalabrus","aurantiacus","Dotalabrus","aurantiacus",8.2,5.9,1.2,11.1,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Tripterygiidae","Forsterygion","varium","Forsterygion","varium",2.5,5,1,13,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Latridae","Latridopsis","forsteri","Latridopsis","forsteri",713.9,22.5,3.5,65,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Gadiformes","Moridae","Lotella","rhacina","Lotella","rhacina",51.7,15,1,50,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Tetraodontiformes","Monacanthidae","Meuschenia","australis","Meuschenia","australis",424.7,23.8,1,30,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Odacidae","Neoodax","balteatus","Neoodax","balteatus",8.4,5.2,2.9,14,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Labridae","Notolabrus","fucicola","Notolabrus","fucicola",118.1,17.5,1,38,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Labridae","Notolabrus","tetricus","Notolabrus","tetricus",147.7,16.6,1.9,50,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Odacidae","Olisthops","cyanomelas","Olisthops","cyanomelas",431,22.5,1.5,35,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Pempheridae","Pempheris","multiradiata","Pempheris","multiradiata",2.7,5,1,28,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Labridae","Pictilabrus","laticlavius","Pictilabrus","laticlavius",51.9,12.1,1.2,23,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Cheilodactylidae","Pseudogoniistius","nigripes","Pseudogoniistius","nigripes",52.4,12.5,1,41,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Gadiformes","Moridae","Pseudophycis","barbata","Pseudophycis","barbata",447.7,40,1,63,"Fishbase2022"
