"class","family","genus","species","valid_genus","valid_species","bodySize"
"Actinopterygii","Chaetodontidae","Chaetodon","ephippium","Chaetodon","ephippium",30
"Actinopterygii","Chaetodontidae","Chaetodon","flavirostris","Chaetodon","flavirostris",20
"Actinopterygii","Chaetodontidae","Chaetodon","guentheri","Chaetodon","guentheri",18
"Actinopterygii","Chaetodontidae","Chaetodon","kleinii","Chaetodon","kleinii",15
"Actinopterygii","Chaetodontidae","Chaetodon","lineolatus","Chaetodon","lineolatus",30
"Actinopterygii","Chaetodontidae","Chaetodon","lunula","Chaetodon","lunula",20
"Actinopterygii","Chaetodontidae","Chaetodon","lunulatus","Chaetodon","lunulatus",14
"Actinopterygii","Chaetodontidae","Chaetodon","melannotus","Chaetodon","melannotus",18
"Actinopterygii","Chaetodontidae","Chaetodon","mertensii","Chaetodon","mertensii",12.5
"Actinopterygii","Chaetodontidae","Chaetodon","meyeri","Chaetodon","meyeri",20
"Actinopterygii","Chaetodontidae","Chaetodon","ocellicaudus","Chaetodon","ocellicaudus",15
"Actinopterygii","Chaetodontidae","Chaetodon","ornatissimus","Chaetodon","ornatissimus",20
"Actinopterygii","Chaetodontidae","Chaetodon","pelewensis","Chaetodon","pelewensis",12.5
"Actinopterygii","Chaetodontidae","Chaetodon","plebeius","Chaetodon","plebeius",15
"Actinopterygii","Chaetodontidae","Chaetodon","punctatofasciatus","Chaetodon","punctatofasciatus",12
"Actinopterygii","Chaetodontidae","Chaetodon","rafflesii","Chaetodon","rafflesii",18
"Actinopterygii","Chaetodontidae","Chaetodon","rainfordi","Chaetodon","rainfordi",15
"Actinopterygii","Chaetodontidae","Chaetodon","reticulatus","Chaetodon","reticulatus",18
"Actinopterygii","Chaetodontidae","Chaetodon","semeion","Chaetodon","semeion",26
"Actinopterygii","Chaetodontidae","Chaetodon","speculum","Chaetodon","speculum",18
"Actinopterygii","Chaetodontidae","Chaetodon","tricinctus","Chaetodon","tricinctus",15
"Actinopterygii","Chaetodontidae","Chaetodon","trifascialis","Chaetodon","trifascialis",18
"Actinopterygii","Chaetodontidae","Chaetodon","ulietensis","Chaetodon","ulietensis",15
"Actinopterygii","Chaetodontidae","Chaetodon","unimaculatus","Chaetodon","unimaculatus",20
"Actinopterygii","Chaetodontidae","Chaetodon","vagabundus","Chaetodon","vagabundus",23
"Actinopterygii","Chaetodontidae","Chelmon","marginalis","Chelmon","marginalis",18
"Actinopterygii","Chaetodontidae","Chelmon","muelleri","Chelmon","muelleri",20.5
"Actinopterygii","Chaetodontidae","Chelmon","rostratus","Chelmon","rostratus",20
"Actinopterygii","Chaetodontidae","Chelmonops","curiosus","Chelmonops","curiosus",26
"Actinopterygii","Chaetodontidae","Chelmonops","truncatus","Chelmonops","truncatus",22
"Actinopterygii","Chaetodontidae","Coradion","altivelis","Coradion","altivelis",18
"Actinopterygii","Chaetodontidae","Coradion","chrysozonus","Coradion","chrysozonus",15
"Actinopterygii","Chaetodontidae","Forcipiger","flavissimus","Forcipiger","flavissimus",22
"Actinopterygii","Chaetodontidae","Forcipiger","longirostris","Forcipiger","longirostris",22
"Actinopterygii","Chaetodontidae","Hemitaurichthys","polylepis","Hemitaurichthys","polylepis",18
"Actinopterygii","Chaetodontidae","Heniochus","acuminatus","Heniochus","acuminatus",25
"Actinopterygii","Chaetodontidae","Heniochus","chrysostomus","Heniochus","chrysostomus",18
"Actinopterygii","Chaetodontidae","Heniochus","diphreutes","Heniochus","diphreutes",21
"Actinopterygii","Chaetodontidae","Heniochus","monoceros","Heniochus","monoceros",24
"Actinopterygii","Chaetodontidae","Heniochus","singularius","Heniochus","singularius",30
"Actinopterygii","Chaetodontidae","Heniochus","varius","Heniochus","varius",19
"Actinopterygii","Chaetodontidae","Parachaetodon","ocellatus","Parachaetodon","ocellatus",18
"Actinopterygii","Cheilodactylidae","Cheilodactylus","ephippium","Morwong","ephippium",20
"Actinopterygii","Cheilodactylidae","Cheilodactylus","francisi","Goniistius","francisi",27.4
"Actinopterygii","Cheilodactylidae","Cheilodactylus","fuscus","Morwong","fuscus",65
"Actinopterygii","Cheilodactylidae","Cheilodactylus","gibbosus","Goniistius","gibbosus",30
"Actinopterygii","Cheilodactylidae","Cheilodactylus","rubrolabiatus","Goniistius","rubrolabiatus",NA
"Actinopterygii","Cheilodactylidae","Cheilodactylus","spectabilis","Chirodactylus","spectabilis",100
"Actinopterygii","Cheilodactylidae","Cheilodactylus","vestitus","Goniistius","vestitus",35
"Actinopterygii","Cheilodactylidae","Dactylophora","nigricans","Dactylophora","nigricans",120
"Actinopterygii","Cheilodactylidae","Nemadactylus","douglasii","Nemadactylus","douglasii",81
"Actinopterygii","Cheilodactylidae","Nemadactylus","macropterus","Nemadactylus","macropterus",70
"Actinopterygii","Cheilodactylidae","Nemadactylus","valenciennesi","Nemadactylus","valenciennesi",90
"Actinopterygii","Cheilodactylidae","Pseudogoniistius","nigripes","Pseudogoniistius","nigripes",41
"Actinopterygii","Chironemidae","Chironemus","maculosus","Chironemus","maculosus",35
"Actinopterygii","Chironemidae","Chironemus","marmoratus","Chironemus","marmoratus",40
"Actinopterygii","Cirrhitidae","Cirrhitichthys","aprinus","Cirrhitichthys","aprinus",12.5
"Actinopterygii","Cirrhitidae","Cirrhitichthys","falco","Cirrhitichthys","falco",7
"Actinopterygii","Cirrhitidae","Cirrhitichthys","oxycephalus","Cirrhitichthys","oxycephalus",10
"Actinopterygii","Cirrhitidae","Cirrhitus","pinnulatus","Cirrhitus","pinnulatus",30
"Actinopterygii","Cirrhitidae","Cyprinocirrhites","polyactis","Cyprinocirrhites","polyactis",15
"Actinopterygii","Cirrhitidae","Neocirrhites","armatus","Neocirrhites","armatus",9
"Actinopterygii","Cirrhitidae","Notocirrhitus","splendens","Notocirrhitus","splendens",20
"Actinopterygii","Cirrhitidae","Paracirrhites","arcatus","Paracirrhites","arcatus",20
"Actinopterygii","Cirrhitidae","Paracirrhites","forsteri","Paracirrhites","forsteri",22
"Actinopterygii","Clinidae","Clinidae","spp.",NA,NA,NA
"Actinopterygii","Clinidae","Cristiceps","aurantiacus","Cristiceps","aurantiacus",22
"Actinopterygii","Clinidae","Heteroclinus","heptaeolus","Heteroclinus","heptaeolus",10
"Actinopterygii","Clinidae","Heteroclinus","perspicillatus","Heteroclinus","perspicillatus",20
"Actinopterygii","Clinidae","Heteroclinus","roseus","Heteroclinus","roseus",15
"Actinopterygii","Clinidae","Heteroclinus","spp.",NA,NA,NA
"Actinopterygii","Clinidae","Heteroclinus","tristis","Heteroclinus","tristis",30
"Actinopterygii","Clinidae","Heteroclinus","whiteleggii","Heteroclinus","whiteleggii",10
"Actinopterygii","Clupeidae","Clupeidae","spp.",NA,NA,NA
