"class","family","genus","species","valid_genus","valid_species","bodySize","size_class"
"Actinopterygii","Chaetodontidae","Chaetodon","mertensii","Chaetodon","mertensii",12.5,10
"Actinopterygii","Chaetodontidae","Chaetodon","meyeri","Chaetodon","meyeri",20,12.5
"Actinopterygii","Chaetodontidae","Chaetodon","ocellicaudus","Chaetodon","ocellicaudus",15,12.5
"Actinopterygii","Chaetodontidae","Chaetodon","ornatissimus","Chaetodon","ornatissimus",20,12.5
"Actinopterygii","Chaetodontidae","Chaetodon","pelewensis","Chaetodon","pelewensis",12.5,7.5
"Actinopterygii","Chaetodontidae","Chaetodon","plebeius","Chaetodon","plebeius",15,10
"Actinopterygii","Chaetodontidae","Chaetodon","punctatofasciatus","Chaetodon","punctatofasciatus",12,7.5
"Actinopterygii","Chaetodontidae","Chaetodon","rafflesii","Chaetodon","rafflesii",18,12.5
"Actinopterygii","Chaetodontidae","Chaetodon","rainfordi","Chaetodon","rainfordi",15,12.5
"Actinopterygii","Chaetodontidae","Chaetodon","reticulatus","Chaetodon","reticulatus",18,15
"Actinopterygii","Chaetodontidae","Chaetodon","semeion","Chaetodon","semeion",26,20
"Actinopterygii","Chaetodontidae","Chaetodon","speculum","Chaetodon","speculum",18,15
"Actinopterygii","Chaetodontidae","Chaetodon","tricinctus","Chaetodon","tricinctus",15,7.5
"Actinopterygii","Chaetodontidae","Chaetodon","trifascialis","Chaetodon","trifascialis",18,12.5
"Actinopterygii","Chaetodontidae","Chaetodon","ulietensis","Chaetodon","ulietensis",15,12.5
"Actinopterygii","Chaetodontidae","Chaetodon","unimaculatus","Chaetodon","unimaculatus",20,10
"Actinopterygii","Chaetodontidae","Chaetodon","vagabundus","Chaetodon","vagabundus",23,10
"Actinopterygii","Chaetodontidae","Chelmon","marginalis","Chelmon","marginalis",18,10
"Actinopterygii","Chaetodontidae","Chelmon","muelleri","Chelmon","muelleri",20.5,10
"Actinopterygii","Chaetodontidae","Chelmon","rostratus","Chelmon","rostratus",20,15
"Actinopterygii","Chaetodontidae","Chelmonops","curiosus","Chelmonops","curiosus",26,20
"Actinopterygii","Chaetodontidae","Chelmonops","truncatus","Chelmonops","truncatus",22,7.5
"Actinopterygii","Chaetodontidae","Coradion","altivelis","Coradion","altivelis",18,10
"Actinopterygii","Chaetodontidae","Coradion","chrysozonus","Coradion","chrysozonus",15,15
"Actinopterygii","Chaetodontidae","Forcipiger","flavissimus","Forcipiger","flavissimus",22,10
"Actinopterygii","Chaetodontidae","Forcipiger","longirostris","Forcipiger","longirostris",22,12.5
"Actinopterygii","Chaetodontidae","Hemitaurichthys","polylepis","Hemitaurichthys","polylepis",18,7.5
"Actinopterygii","Chaetodontidae","Heniochus","acuminatus","Heniochus","acuminatus",25,20
"Actinopterygii","Chaetodontidae","Heniochus","chrysostomus","Heniochus","chrysostomus",18,15
"Actinopterygii","Chaetodontidae","Heniochus","diphreutes","Heniochus","diphreutes",21,12.5
"Actinopterygii","Chaetodontidae","Heniochus","monoceros","Heniochus","monoceros",24,25
"Actinopterygii","Chaetodontidae","Heniochus","singularius","Heniochus","singularius",30,20
"Actinopterygii","Chaetodontidae","Heniochus","varius","Heniochus","varius",19,25
"Actinopterygii","Chaetodontidae","Parachaetodon","ocellatus","Parachaetodon","ocellatus",18,10
"Actinopterygii","Cheilodactylidae","Cheilodactylus","ephippium","Morwong","ephippium",20,30
"Actinopterygii","Cheilodactylidae","Cheilodactylus","francisi","Goniistius","francisi",27.4,15
"Actinopterygii","Cheilodactylidae","Cheilodactylus","fuscus","Morwong","fuscus",65,20
"Actinopterygii","Cheilodactylidae","Cheilodactylus","gibbosus","Goniistius","gibbosus",30,30
